Name,Type,Product,Activity,Database
SEMI_LH_FC_H2_ELD,Operation,"transport, freight, lorry","transport, freight, lorry, fuel cell electric, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_FC_H2_ELD,Construction,truck,"lorry production, fuel cell electric, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_FC_H2_LD,Operation,"transport, freight, lorry","transport, freight, lorry, fuel cell electric, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_FC_H2_LD,Construction,truck,"lorry production, fuel cell electric, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_HY_DIESEL_ELD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel hybrid, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_HY_DIESEL_ELD,Construction,truck,"lorry production, diesel hybrid, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_HY_DIESEL_LD,Construction,truck,"lorry production, diesel hybrid, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_HY_DIESEL_LD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel hybrid, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_PROPANE_ELD,Operation,"transport, freight, lorry","transport, freight, lorry, compressed gas, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_PROPANE_ELD,Construction,truck,"lorry production, compressed gas, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_PROPANE_LD,Operation,"transport, freight, lorry","transport, freight, lorry, compressed gas, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_PROPANE_LD,Construction,truck,"lorry production, compressed gas, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_SH_BIODIESEL_B100_MD,Construction,truck,"lorry production, diesel, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_SH_BIODIESEL_B100_MD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_SH_BIODIESEL_B20_MD,Construction,truck,"lorry production, diesel, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_SH_BIODIESEL_B20_MD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_SH_CNG_MD,Operation,"transport, freight, lorry","transport, freight, lorry, compressed gas, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_SH_CNG_MD,Construction,truck,"lorry production, compressed gas, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_SH_CSNG_MD,Operation,"transport, freight, lorry","transport, freight, lorry, compressed gas, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_SH_CSNG_MD,Construction,truck,"lorry production, compressed gas, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_SH_DIESEL_MD,Construction,truck,"lorry production, diesel, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_SH_DIESEL_MD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_SH_EV_MD,Operation,"transport, freight, lorry","transport, freight, lorry, battery electric, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_SH_EV_MD,Construction,truck,"lorry production, battery electric, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_SH_FC_H2_MD,Operation,"transport, freight, lorry","transport, freight, lorry, fuel cell electric, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_SH_FC_H2_MD,Construction,truck,"lorry production, fuel cell electric, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_SH_HY_DIESEL_MD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel hybrid, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_SH_HY_DIESEL_MD,Construction,truck,"lorry production, diesel hybrid, 26 metric ton","image, remind, message, tiam-ucl"
