Name,Type,Product,Activity,Database
TRUCK_SH_HY_DIESEL_MD,Construction,truck,"lorry production, diesel hybrid, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_HY_DIESEL_SD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel hybrid, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_HY_DIESEL_SD,Construction,truck,"lorry production, diesel hybrid, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_PROPANE_MD,Construction,truck,"lorry production, compressed gas, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_PROPANE_MD,Operation,"transport, freight, lorry","transport, freight, lorry, compressed gas, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_PROPANE_SD,Construction,truck,"lorry production, compressed gas, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_PROPANE_SD,Operation,"transport, freight, lorry","transport, freight, lorry, compressed gas, 18 metric ton","image, remind, message, tiam-ucl"
UNMINEABLE_COAL_SEAM,Operation,"carbon dioxide, stored","carbon dioxide compression, transport and storage","image, remind, message, tiam-ucl"
URANIUM,Resource,"nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX","market for nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX","image, remind, message, tiam-ucl"
URANIUM,Flow,"nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX","market for nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX","image, remind, message, tiam-ucl"
WIND_OFFSHORE,Operation,"electricity, high voltage","electricity production, wind, 1-3MW turbine, offshore","image, remind, message, tiam-ucl"
WIND_OFFSHORE_FIXED,Construction,"wind power plant, 2MW, offshore, fixed parts","market for wind power plant, 2MW, offshore, fixed parts","image, remind, message, tiam-ucl"
WIND_OFFSHORE_MOVING,Construction,"wind power plant, 2MW, offshore, moving parts","market for wind power plant, 2MW, offshore, moving parts","image, remind, message, tiam-ucl"
WIND_ONSHORE,Operation,"electricity, high voltage","electricity production, wind, 1-3MW turbine, onshore","image, remind, message, tiam-ucl"
WIND_ONSHORE_CONNECTION,Construction,"wind turbine network connection, 2MW, onshore","wind turbine network connection construction, 2MW, onshore","image, remind, message, tiam-ucl"
WIND_ONSHORE_TURBINE,Construction,"wind turbine, 2MW, onshore","wind turbine construction, 2MW, onshore","image, remind, message, tiam-ucl"
WOOD_METHANOL,Operation,"methanol, unpurified","methanol synthesis, from wood, with CCS","image, remind, message, tiam-ucl"
WOOD_METHANOL,Construction,methanol factory,methanol factory construction,"image, remind, message, tiam-ucl"
XYLENE,Resource,"xylene, mixed","market for xylene, mixed","image, remind, message, tiam-ucl"
XYLENE,Flow,"xylene, mixed","market for xylene, mixed","image, remind, message, tiam-ucl"
