# End-use demand parameters in matrix format
# Generated by write_matrix_dat.py

param end_uses_demand_year :=
["YEAR_2020",*,*]:	AGRICULTURE	EXPORT	HOUSEHOLDS	INDUSTRY	SERVICES	TRANSPORTATION	:=
ELECTRICITY_MV	1988.27	0	0	13283.803719444635	4869.121882303986	0
HEAT_HIGH_T	0	0	0	85583.10109097738	1473.0538169218532	0
HEAT_LOW_T_HW	121.73	0	15149.200321016579	712.3623933080241	3972.7387916618327	0
HEAT_LOW_T_SC	0	0	3251.648169823304	0	4105.557271622392	0
HEAT_LOW_T_SH	1095.58	0	62952.97343235484	3725.02143131197	28682.241264707252	0
LIGHTING	82.84	0	5622.166410311846	6726.605869923633	16633.431336956455	0
MOBILITY_FREIGHT_ELD	0	0	0	0	0	114381.81827059835
MOBILITY_FREIGHT_LD	0	0	0	0	0	22626.525338531355
MOBILITY_FREIGHT_MD	0	0	0	0	0	29451.9148830976
MOBILITY_FREIGHT_SD	3236.1	0	0	0	0	9300.344649267663
MOBILITY_PASSENGER_LD	0	0	0	0	0	61446.766651369864
MOBILITY_PASSENGER_MD	0	0	0	0	0	54825.051095944844
MOBILITY_PASSENGER_SD	0	0	0	0	0	62939.0445146103
;

