ES_name_ES_QC,param,YEAR_2020,YEAR_2050,Unit,Source,Technology name
PV_GROUND,c_inv,1544,1045,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,Solar - 1 axis PV
WIND_ONSHORE,c_inv,2219,1525,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,Wind - Onshore
WIND_OFFSHORE,c_inv,5642,4543,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,Wind - Offshore
BIOMASS_GAS_EF_H2,c_inv,1073,1020,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,Biomass gasification without CCS
BIOMASS_GAS_FB_H2,c_inv,1073,1020,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,Biomass gasification without CCS
BIOMASS_GAS_EF_H2_CCS,c_inv,3100,2501,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,Biomass gasification with CCS
BIOMASS_GAS_FB_H2_CCS,c_inv,3100,2501,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,Biomass gasification with CCS
DAC_LT,c_inv,728.46,144.8,$/tCO2,"Sievert, Katrin, Tobias S. Schmidt, and Bjarne Steffen. 2024. Considering Technology Characteristics to Project Future Costs of Direct Air Capture. Joule 8(4):97999. doi:10.1016/j.joule.2024.02.005.",Low Temperature Direct Air Capture
DAC_LT,c_maint,283.29,54.3,$/tCO2,"Sievert, Katrin, Tobias S. Schmidt, and Bjarne Steffen. 2024. Considering Technology Characteristics to Project Future Costs of Direct Air Capture. Joule 8(4):97999. doi:10.1016/j.joule.2024.02.005.",Low Temperature Direct Air Capture
DAC_HT,c_inv,428.42,221.76,$/tCO2,"Sievert, Katrin, Tobias S. Schmidt, and Bjarne Steffen. 2024. Considering Technology Characteristics to Project Future Costs of Direct Air Capture. Joule 8(4):97999. doi:10.1016/j.joule.2024.02.005.",High Temperature Direct Air Capture
DAC_HT,c_maint,179.66,60.48,$/tCO2,"Sievert, Katrin, Tobias S. Schmidt, and Bjarne Steffen. 2024. Considering Technology Characteristics to Project Future Costs of Direct Air Capture. Joule 8(4):97999. doi:10.1016/j.joule.2024.02.005.",High Temperature Direct Air Capture
