Programming name,Short name,Long name,Category,Subcategory,Set,Unit_ref,,
CAR_NG_LONGD,Car Natural Gas LD,Natural Gas-Powered Car for Long Distances,Private Mobility,Car,,pkm/h,,
CAR_PHEV,Car PHEV,Plug-in Hybrid Electric Car,Private Mobility,Car,,pkm/h,,
CAR_PHEV_GASOLINE,Car PHEV Gasoline,Plug-in Hybrid Gasoline-Powered Car,Private Mobility,Car,,pkm/h,,
CAR_PHEV_LOCAL,Car PHEV Local,Plug-in Hybrid Electric Car for Local Use,Private Mobility,Car,CA,pkm/h,,
CAR_PHEV_LONGD,Car PHEV LD,Plug-in Hybrid Electric Car for Long Distances,Private Mobility,Car,CA,pkm/h,,
CAR_PROPANE,Car Propane,Propane-Powered Car,Private Mobility,Car,CA,pkm/h,,
CARBON_CAPTURE,Carbon Capture,Post-Combustion Carbon Capture,CCUS,Capture,,ktCO2_eq/h,,
CCGT,CCGT,Combined Cycle Gas Turbine,Electricity Production,Thermal,,kW,,
CCGT_BIOGAS,CCGT BioGas,Combined Cycle BioGas Turbine,Electricity Production,Thermal,,kW,,
CCGT_BIOGAS_CC,CCGT BioGas CC,Combined Cycle BioGas Turbine with Carbon Capture,Electricity Production,Thermal,,kW,,
CCGT_CC,CCGT CC,Combined Cycle Gas Turbine with Carbon Capture,Electricity Production,Thermal,,kW,,
CEMENT,Cement,Cement,Flow,Flow,,kt,,
CEMENT_PROD,Cement Prod.,Cement Production,Specific sectors,Cement,,kt/h,,
CEMENT_PROD_HP,Cement Prod. HP,Cement Production with Heat Pump,Specific sectors,Cement,,kt/h,,
CEMENT_PROD_ORC,Cement Prod. ORC,Cement Production with Organic Rankine Cycle,Specific sectors,Cement,,kt/h,,
CO2_C,Carbon dioxide,Carbon dioxide,Flow,Flow,,kt,,
CO2_METHANOL,CO2 to Methanol,Conversion of CO2 to Methanol,Bioprocesses,Synfuel,,kW,,
CO2_STO,CO2 Storage (input),CO2 Storage (input),CCUS,Storage,,ktCO2_eq/h,,
CO2_TO_DIESEL,CO2 to Diesel,Conversion of CO2 to Diesel,Bioprocesses,Synfuel,,kW,,
CO2_TO_JETFUELS,CO2 to Jetfuels,Conversion of CO2 to Jet Fuels,Bioprocesses,Synfuel,,kW,,
COACH_BIODIESEL_B100,Coach BioDiesel,100% BioDiesel-Powered Coach,Public Mobility,Road,CA,pkm/h,,
COACH_BIODIESEL_B20,Coach BioDiesel 20%,20% BioDiesel-Powered Coach,Public Mobility,Road,,pkm/h,,
COACH_BIOETOH_E10,Coach BioEthanol 10%,10% BioEthanol-Powered Coach,Public Mobility,Road,,pkm/h,,
COACH_CNG,Coach CNG,Compressed Natural Gas-Powered Coach,Public Mobility,Road,,pkm/h,,
COACH_CNG_STOICH,Coach CNG,Compressed Natural Gas-Powered Coach,Public Mobility,Road,CA,pkm/h,,
COACH_CSNG,Compressed Synthetic Natural Gas-Powered Coach,Compressed Synthetic Natural Gas-Powered Coach,Public Mobility,Road,,pkm/h,,
COACH_DIESEL,Coach Diesel,Diesel-Powered Coach,Public Mobility,Road,,pkm/h,,
COACH_ETOH_E10,Coach Ethanol 10%,10% Ethanol-Powered Coach,Public Mobility,Road,,pkm/h,,
COACH_EV,Coach Electric,Electric-Powered Coach,Public Mobility,Road,CA,pkm/h,,
COACH_FC_CH4,Coach Methane FC,Methane Fuel Cell-Powered Coach,Public Mobility,Road,CA,pkm/h,,
COACH_FC_HYBRID_CH4,Coach Methane Fuel Cell,Fuel Cell Coach with Methane Hybridization,Public Mobility,Road,,pkm/h,,
COACH_FC_HYBRID_H2,Hydrogen Fuel Cell Coach,Fuel Cell Coach with Hydrogen Hybridization,Public Mobility,Road,,pkm/h,,
COACH_GASOLINE,Coach Gasoline,Gasoline-Powered Coach,Public Mobility,Road,,pkm/h,,
COACH_HY_DIESEL,Hybrid Diesel Coach,Diesel Hybrid Coach,Public Mobility,Road,,pkm/h,,
COACH_PROPANE,Coach Propane,Propane-Powered Coach,Public Mobility,Road,CA,pkm/h,,
COAL,Coal,Coal,Resource,Resource,,kWh,,
COAL_GAS_H2,Coal Gasification H2,Hydrogen from Coal Gasification,Hydrogen Production,Hydrogen,,kW,,
COAL_GAS_H2_ADV,Advanced Coal Gasification H2,Hydrogen from Advanced Coal Gasification,Hydrogen Production,Hydrogen,,kW,,
COAL_GAS_H2_ADV_CCS,Advanced Coal Gasification H2 CC,Hydrogen from Advanced Coal Gasification with Carbon Capture,Hydrogen Production,Hydrogen,,kW,,
COAL_GAS_H2_CCS,Coal Gasification H2 CC,Hydrogen from Coal Gasification with Carbon Capture,Hydrogen Production,Hydrogen,,kW,,
COAL_IGCC,Coal IGCC,Integrated Gasification Combined Cycle,Electricity Production,Thermal,,kW,,
COAL_IGCC_CC,Coal IGCC CC,Integrated Gasification Combined Cycle with Carbon Capture,Electricity Production,Thermal,,kW,,
COAL_US,Coal US,Coal Ultra-Supercritical,Electricity Production,Thermal,,kW,,
COAL_US_CC,Coal US CC,Coal Ultra-Supercritical with Carbon Capture,Electricity Production,Thermal,,kW,,
COMMUTER_RAIL_DIESEL,Train Diesel,Diesel-Powered Commuter Train,Public Mobility,Rail,,pkm/h,,
COMMUTER_RAIL_ELEC,Train Electric SD,Electric-Powered Commuter Train,Public Mobility,Rail,,pkm/h,,
