Programming name,Short name,Long name,Category,Subcategory,Set,Unit_ref,,
TRAIN_FREIGHT_H2,Train Freight Hydrogen,Hydrogen-Powered Freight Train,Freight transport,Rail,,tkm/h,,
TRAIN_FREIGHT_H2_HYBRID,Train Freight Hybrid Bat. FC,Hybrid Battery-Fuel Cell-Powered Freight Train,Freight transport,Rail,,tkm/h,,
TRAIN_FREIGHT_NG,Train Freight Natural Gas,Natural Gas-Powered Freight Train,Freight transport,Rail,,tkm/h,,
TRAIN_FREIGHT_SNG,Train Freight Synthetic Natural Gas,Natural Synthetic Gas-Powered Freight Train,Freight transport,Rail,,tkm/h,,
TRAIN_H2,Hydrogen Train,Hydrogen-Powered Train,Public Mobility,Rail,CA,pkm/h,,
TRAIN_NG,Train Natural Gas,Natural Gas-Powered Train,Public Mobility,Rail,,pkm/h,,
TRAIN_PUB,Train Elec Pax,Electric-Powered Passenger Train,Public Mobility,Rail,,pkm/h,,
TRAIN_SNG,Train Synthetic Natural Gas,Synthetic Natural Gas-Powered Train,Public Mobility,Rail,,pkm/h,,
TRAMWAY,Tramway,Tramway,Public Mobility,Rail,,pkm/h,,
TRAMWAY_TROLLEY,Tramway,Tramway Trolley System,Public Mobility,Rail,,pkm/h,,
TRUCK,Truck Diesel,Diesel-Powered Truck,Freight transport,Road,,tkm/h,,
TRUCK_CO2,Truck Diesel,Diesel-Powered Truck with Carbon Capture,Freight transport,Road,,tkm/h,,
TRUCK_EV,Truck Electric,Electric-Powered Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_FC,Truck Fuel Cell,Fuel Cell-Powered Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_LH_BIODIESEL_B100,Truck BioDiesel LD,100% BioDiesel-Powered Long Distance Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_LH_BIODIESEL_B20,Truck BioDiesel 20% LD,20% BioDiesel-Powered Long Distance Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_LH_CNG,Truck CNG LD,Compressed Natural Gas-Powered Long Distance Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_LH_CSNG,Truck CSNG LD,Compressed Synthetic Natural Gas-Powered Long Distance Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_LH_DIESEL,Truck Diesel LD,Diesel-Powered Long Distance Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_LH_EV,Truck Electric LD,Electric-Powered Long Distance Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_LH_FC_CH4,Truck Methane FC LD,Methane Fuel Cell-Powered Long Distance Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_LH_GASOLINE,Truck Gasoline LD,Gasoline-Powered Long Distance Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_LH_HY_DIESEL,Truck Hybrid Diesel LD,Diesel Hybrid Long Distance Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_LH_PROPANE,Truck Propane LD,Propane-Powered Long Distance Truck,Freight transport,Road,,tkm/h,,
TRUCK_SH_BIODIESEL_B100,Truck BioDiesel SD,100% BioDiesel-Powered Short Distance Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_SH_BIODIESEL_B20,Truck BioDiesel 20% SD,20% BioDiesel-Powered Short Distance Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_SH_CNG,Truck CNG SD,Compressed Natural Gas-Powered Short Distance Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_SH_CSNG,Truck CSNG SD,Compressed Synthetic Natural Gas-Powered Short Distance Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_SH_DIESEL,Truck Diesel SD,Diesel-Powered Short Distance Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_SH_EV,Truck Electric SD,Electric-Powered Short Distance Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_SH_FC_CH4,Truck Methane FC SD,Methane Fuel Cell-Powered Short Distance Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_SH_GASOLINE,Truck Gasoline SD,Gasoline-Powered Short Distance Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_SH_HY_DIESEL,Truck Hybrid Diesel SD,Diesel Hybrid Short Distance Truck,Freight transport,Road,CA,tkm/h,,
TRUCK_SH_PROPANE,Truck Propane SD,Propane-Powered Short Distance Truck,Freight transport,Road,,tkm/h,,
TRUCK_SNG,Truck SNG,Compressed Natural Gas-Powered Truck,Freight transport,Road,,tkm/h,,
UNMINEABLE_COAL_SEAM,Unmineable Coal Seam,Sequestration of CO2 in Unmineable Coal Seams,CCUS,Sequestration,,ktCO2_eq/h,,
URANIUM,Uranium,Uranium,Resource,Resource,,kWh,,
WASTE,Waste,Organic and Paper Waste,Resource,Resource,,kWh,,
WASTE_BIO,Biogenic waste,Biogenic waste,Resource,Resource,,kWh,,
WASTE_FOS,Fossil waste,Fossil waste,Resource,Resource,,kWh,,
WET_BIOMASS,Wet biomass,"Wet Biomass Waste from Industry, Agriculture and Municipalities",Resource,Resource,,kWh,,
WIND,Wind,Wind Energy ,Electricity Production,Wind,,kW,,
WIND_OFFSHORE,Wind Offshore,Wind Energy Offshore,Electricity Production,Wind,,kW,,
WIND_ONSHORE,Wind Onshore,Wind Energy Onshore,Electricity Production,Wind,,kW,,
WOOD,Wood,"Waste Wood from Industry, Agriculture and Forestry",Resource,Resource,,kWh,,
WOOD_METHANOL,Wood to Methanol,Conversion of Wood to Methanol,Specific sectors,Chemical,,kt/h,,
XYLENE,Xylene,Xylene,Resource,Resource,,kWh,,
BULK_CARRIER,Bulk carrier HFO,Oil-Powered Bulk Carrier Ship,Freight transport,Maritime,CA,tkm/h,,
BULK_CARRIER_MEOH,Bulk carrier Methanol,Methanol-Powered Bulk Carrier Ship,Freight transport,Maritime,CA,tkm/h,,
CONTAINER,Container HFO,Oil-Powered Container Ship,Freight transport,Maritime,CA,tkm/h,,
CONTAINER_MEOH,Container Methanol,Methanol-Powered Container Ship,Freight transport,Maritime,CA,tkm/h,,
OIL_TANKER,Oil tanker HFO,Oil-Powered Oil Tanker Ship,Freight transport,Maritime,CA,tkm/h,,
OIL_TANKER_MEOH,Oil tanker Methanol,Methanol-Powered Oil Tanker Ship,Freight transport,Maritime,CA,tkm/h,,
BULK_CARRIER_BIO,Bulk carrier BioHFO,BioOil-Powered Bulk Carrier Ship,Freight transport,Maritime,CA,tkm/h,,
BULK_CARRIER_BIOMEOH,Bulk carrier BioMethanol,BioMethanol-Powered Bulk Carrier Ship,Freight transport,Maritime,CA,tkm/h,,
CONTAINER_BIO,Container BioHFO,BioOil-Powered Container Ship,Freight transport,Maritime,CA,tkm/h,,
CONTAINER_BIOMEOH,Container BioMethanol,BioMethanol-Powered Container Ship,Freight transport,Maritime,CA,tkm/h,,
OIL_TANKER_BIO,Oil tanker BioHFO,BioOil-Powered Oil Tanker Ship,Freight transport,Maritime,CA,tkm/h,,
OIL_TANKER_BIOMEOH,Oil tanker BioMethanol,BioMethanol-Powered Oil Tanker Ship,Freight transport,Maritime,CA,tkm/h,,
CARBON_CAPTURE_AMINES,Carbon Capture using Amines,Post-Combustion Carbon Capture using Amines,CCUS,Capture,,ktCO2_eq/h,,
CARBON_CAPTURE_MEMBRANES,Carbon Capture using Membranes,Post-Combustion Carbon Capture using Membranes,CCUS,Capture,,ktCO2_eq/h,,
CARBON_CAPTURE_MOF,Carbon Capture using MOFs,Post-Combustion Carbon Capture using MOFs,CCUS,Capture,,ktCO2_eq/h,,
CARBON_TRANSPORT_INJECTION,Carbon Transport and Injection,Carbon Transport and Injection,CCUS,Storage,,ktCO2_eq/h,,
CARBON_MINERALIZATION,Carbon Mineralization,Carbon Mineralization,CCUS,Storage,,ktCO2_eq/h,,
BIOMASS_FORESTRY_UNEXPLOITED,Unharvested wood,Unharvested wood,Resource,Resource,CA,kWh,,
BIOMASS_FORESTRY_RESIDUAL,Residual forest biomass,Residual forest biomass,Resource,Resource,CA,kWh,,
BIOMASS_FORESTRY_LEFTOVER1,By-products from primary processing,By-products from primary processing,Resource,Resource,CA,kWh,,
BIOMASS_FORESTRY_LEFTOVER2,By-products from secondary processing,By-products from secondary processing,Resource,Resource,CA,kWh,,
BIOMASS_AGRICULTURE_DEJECTION,Animal manure,Animal manure,Resource,Resource,CA,kWh,,
BIOMASS_AGRICULTURE_RESIDUAL,Crop production and residues,Crop production and residues,Resource,Resource,CA,kWh,,
BIOMASS_WASTE_ORGANIC,"Food waste, green waste, and other organic matter","Food waste, green waste, and other organic matter",Resource,Resource,CA,kWh,,
BIOMASS_WASTE_PAPER,Paper and cardboard,Paper and cardboard,Resource,Resource,CA,kWh,,
BIOMASS_WASTE_PAPER_FABRIC,Pulp and paper mill residues,Pulp and paper mill residues,Resource,Resource,CA,kWh,,
BIOMASS_WASTE_BUILDING,"Construction, renovation, and demolition wood waste","Construction, renovation, and demolition wood waste",Resource,Resource,CA,kWh,,
BIOMASS_WASTE_MUNICIPAL,Municipal sludge,Municipal sludge,Resource,Resource,CA,kWh,,
