Name,Flow,Amount
BUS_GASOLINE_SD,CO2_E,0.09292285713741404
BUS_GASOLINE_SD,GASOLINE,-0.3951314285482831
BUS_GASOLINE_SD,MOB_PUBLIC_SD,1.0
BUS_HY_DIESEL_SD,CO2_E,0.061485714287724
BUS_HY_DIESEL_SD,DIESEL,-0.21596857143563059
BUS_HY_DIESEL_SD,MOB_PUBLIC_SD,1.0
BUS_PROPANE_SD,CO2_E,0.09292285713741404
BUS_PROPANE_SD,MOB_PUBLIC_SD,1.0
BUS_PROPANE_SD,PROPANE,-0.3951314285482831
CARBON_CAPTURE,CO2_A,-1.11
CARBON_CAPTURE,CO2_C,1.0
CARBON_CAPTURE,CO2_E,0.11
CARBON_CAPTURE,ELECTRICITY_HV,-0.161
CARBON_CAPTURE,HEAT_HIGH_T,-1.186
CARBON_CAPTURE_AMINES,CO2_A,-1.11
CARBON_CAPTURE_AMINES,CO2_C,1.0
CARBON_CAPTURE_AMINES,CO2_E,0.11
CARBON_CAPTURE_AMINES,ELECTRICITY_HV,-0.015
CARBON_CAPTURE_AMINES,HEAT_HIGH_T,-1.0
CARBON_CAPTURE_MEMBRANES,CO2_A,-1.11
CARBON_CAPTURE_MEMBRANES,CO2_C,1.0
CARBON_CAPTURE_MEMBRANES,CO2_E,0.11
CARBON_CAPTURE_MEMBRANES,ELECTRICITY_HV,-0.37
CARBON_CAPTURE_MOF,CO2_A,-1.11
CARBON_CAPTURE_MOF,CO2_C,1.0
CARBON_CAPTURE_MOF,CO2_E,0.11
CARBON_CAPTURE_MOF,ELECTRICITY_HV,-0.2
CARBON_CAPTURE_MOF,HEAT_HIGH_T,-0.22
CARBON_MINERALIZATION,CO2_C,-1.0
CARBON_MINERALIZATION,CO2_S,1.0
CARBON_MINERALIZATION,ELECTRICITY_HV,-0.49
CARBON_TRANSPORT_INJECTION,CO2_C,-1.0
CARBON_TRANSPORT_INJECTION,CO2_S,1.0
CARBON_TRANSPORT_INJECTION,ELECTRICITY_HV,-0.185
CAR_BIODIESEL_B100_ELD,BIO_DIESEL,-0.36917999984678707
CAR_BIODIESEL_B100_ELD,CO2_E,0.09041142853390703
CAR_BIODIESEL_B100_ELD,MOB_PRIVATE_ELD,1.0
CAR_BIODIESEL_B100_LD,BIO_DIESEL,-0.36917999984678707
CAR_BIODIESEL_B100_LD,CO2_E,0.09041142853390703
CAR_BIODIESEL_B100_LD,MOB_PRIVATE_LD,1.0
CAR_BIODIESEL_B100_MD,BIO_DIESEL,-0.36917999984678707
